label.delta,label.k_dn,label.k_up,label.n_v,label.t_fill_min,signal.k_h,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,win_rate,bt_n_trades,bt_total_return,bt_sharpe,trial_hash,daily_sr,n_days,skew,kurt
0.0,1.0,1.0,16,60,4.0,breakout,9899,0.9067582584099404,8976,-0.0019377507904682425,-32.585943944938954,0.39360516934046347,3272,-0.999841427924169,-5.292627447134042,d6939e939e3b,-0.27702878191875296,3327,-4.639050512040535,53.281191285557796
0.0,1.0,2.0,4,15,1.0,dip,50976,0.8163449466415568,41614,-0.001742851662692479,-63.685243983984755,0.27644542701975294,3921,-0.9999637878873068,-3.9782111723796967,577604cb1682,-0.20822908967391937,3327,-5.142984708185338,46.30444838229993
0.0,1.0,2.0,4,15,1.0,breakout,52920,0.8067838246409675,42695,-0.0019179048644778784,-70.80263030151173,0.2609204824920951,2133,-0.9999638205086484,-4.086823793148902,577604cb1682,-0.21391413407450147,3327,-5.415987501517836,44.757453877188276
0.0,1.0,2.0,4,15,2.0,dip,23979,0.8202593936360982,19669,-0.0017107058523948694,-41.76192382409012,0.28074635212771365,5369,-0.9999312372521559,-5.018855091566988,41f59966d53d,-0.26269888189398594,3327,-2.826580106761341,30.699206533261524
0.0,1.0,2.0,4,15,2.0,breakout,25239,0.818217837473751,20651,-0.0020285860533873056,-49.8339800886852,0.2566945910609656,2655,-0.9999631838840196,-4.662507564994707,41f59966d53d,-0.24404679987760752,3327,-4.146228313762779,68.69721791740612
0.0,1.0,2.0,4,15,3.0,dip,14106,0.8214943995462923,11588,-0.0017179016272218827,-31.734626314292676,0.28253365550569554,4656,-0.9997827242857458,-5.131083619179864,9ce1d5812cfc,-0.2685731915089515,3327,-2.6885427547800727,27.850622706794248
0.0,1.0,2.0,4,15,3.0,breakout,14882,0.825964252116651,12292,-0.0020464921372117836,-37.887236068630564,0.25724048161405794,3278,-0.999934051575232,-5.463506309601666,9ce1d5812cfc,-0.2859729903668087,3327,-5.085939125966413,62.35152882676352
0.0,1.0,2.0,4,15,4.0,dip,9200,0.8376086956521739,7706,-0.0017206431294662795,-25.468386709001127,0.2793926810277706,4850,-0.9997399681754725,-5.433273567715197,6b6cd67d0b9c,-0.2843905363319214,3327,-0.5404440734014029,29.701672435965396
0.0,1.0,2.0,4,15,4.0,breakout,9899,0.8229114051924437,8146,-0.0019672265823230963,-29.438304487066368,0.2596366314755708,3719,-0.9997753478431866,-5.621569291442931,6b6cd67d0b9c,-0.29424638496397476,3327,-1.7196570658465247,28.81987318468013
0.0,1.0,2.0,4,60,1.0,dip,50976,0.8958137162586315,45665,-0.0017964404986896135,-68.31093306125476,0.27382021241651155,2643,-0.9999637284867675,-4.00636793334671,562dbe3c3d50,-0.2097028819011983,3327,-5.486512286286902,43.26565490795123
0.0,1.0,2.0,4,60,1.0,breakout,52920,0.898790627362056,47564,-0.0019756045780440668,-75.57520121060088,0.25880918341602893,1515,-0.9999639566047986,-3.822385617660802,562dbe3c3d50,-0.2000728073648434,3327,-6.65814187117179,56.01775828766062
0.0,1.0,2.0,4,60,2.0,dip,23979,0.8955335918929063,21474,-0.001755905330527527,-44.540462511177424,0.27875570457297194,4754,-0.9999322831249361,-4.670476834698499,cbc64993f1c7,-0.24446393051846135,3327,-2.9760767846961302,39.16796764539673
0.0,1.0,2.0,4,60,2.0,breakout,25239,0.9038789175482388,22813,-0.002130749400227314,-53.587830019152214,0.2536711524130978,1808,-0.9999632123861137,-4.090341449436205,cbc64993f1c7,-0.2140982566197239,3327,-5.791805258406241,65.50050504008443
0.0,1.0,2.0,4,60,3.0,dip,14106,0.8916064086204452,12577,-0.0017825760505235108,-34.231493942949236,0.2785242903713127,4505,-0.9998601982372658,-5.256078210168817,4393ab557088,-0.2751157074207512,3327,-3.1917622976861324,27.771004321834646
