delta_sigma,grace_min,k_dn,k_h,k_up,n_v,t_fill_min,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,bt_n_trades,bt_total_return,bt_sharpe,bt_max_drawdown,exit_types,trial_hash,daily_sr,n_days,skew,kurt
1.0,15,2.0,4.0,0.5,1,60,dip,6725,0.574275092936803,3862,-0.0010075560179274917,-12.23919575932078,3860,-0.9803761577555673,-4.2854613578873275,-0.9803798889555674,"{""tp"": 2356, ""sl"": 869, ""time_maker"": 583, ""time_taker"": 54}",4518572d84fc,-0.2243112994054169,2512,-3.5524172275341255,36.89538850089289
1.0,15,2.0,4.0,0.5,1,60,breakout,7276,0.5744914788345244,4180,-0.0008971882991063357,-11.084866921086958,3938,-0.9769267875498273,-3.8517782642880083,-0.9769465350761897,"{""tp"": 2132, ""time_maker"": 1229, ""sl"": 576, ""time_taker"": 243}",3a29ee4ae470,-0.20161128880413542,2512,-4.655319801793689,52.44030961428701
1.0,15,2.0,4.0,0.5,2,15,dip,6725,0.37382899628252786,2514,-0.000869004666193184,-8.099848479947118,2514,-0.8914991166292304,-2.9907226134958886,-0.892366698826783,"{""tp"": 1766, ""sl"": 630, ""time_maker"": 96, ""time_taker"": 22}",640a81d3becb,-0.15654157617352737,2512,-3.225830859564098,29.899978815615302
1.0,15,2.0,4.0,0.5,2,15,breakout,7276,0.288345244639912,2098,-0.0008088856315215359,-6.4905776561453035,2098,-0.8230275257234343,-2.315224169949332,-0.8240558833020531,"{""tp"": 1371, ""sl"": 358, ""time_maker"": 292, ""time_taker"": 77}",2b83dd1e8182,-0.1211843716710551,2512,-5.058234493869272,55.95191119734548
1.0,15,2.0,4.0,0.5,2,60,dip,6725,0.574275092936803,3862,-0.0009858856626173695,-11.512234569736668,3860,-0.9784384902015366,-4.126151430232526,-0.9784748380015366,"{""tp"": 2619, ""sl"": 989, ""time_maker"": 206, ""time_taker"": 48}",fa303ea7374e,-0.21597263668135294,2512,-3.3679058726761517,34.58761927604135
1.0,15,2.0,4.0,0.5,2,60,breakout,7276,0.5744914788345244,4180,-0.0008843405224255326,-10.390574010675877,3938,-0.975773812364932,-3.6481534538813127,-0.9758013077075581,"{""tp"": 2565, ""sl"": 731, ""time_maker"": 716, ""time_taker"": 168}",0e60d40cba16,-0.19095307910415932,2512,-4.16596702837328,44.953447301504724
1.0,15,2.0,4.0,0.5,4,15,dip,6725,0.37382899628252786,2514,-0.0008879225759172695,-8.105392321375534,2514,-0.8966906942777313,-2.99644540661531,-0.8975167641833548,"{""tp"": 1820, ""sl"": 657, ""time_maker"": 26, ""time_taker"": 11}",225ba87f3fb9,-0.15684112085580135,2512,-3.2016326487608078,28.455073334449356
1.0,15,2.0,4.0,0.5,4,15,breakout,7276,0.288345244639912,2098,-0.0008673572464922985,-6.756586060377104,2098,-0.8437752859559925,-2.422914076744635,-0.8450708905068853,"{""tp"": 1476, ""sl"": 444, ""time_maker"": 135, ""time_taker"": 43}",19db2f20f8f2,-0.1268211190148723,2512,-4.76273135947327,50.7716665150071
1.0,15,2.0,4.0,0.5,4,60,dip,6725,0.574275092936803,3862,-0.0009970960308233918,-11.371065011616908,3860,-0.9793743499002977,-4.1072527822671185,-0.9794091795002977,"{""tp"": 2734, ""sl"": 1043, ""time_maker"": 66, ""time_taker"": 19}",d2362cfcf7c8,-0.2149834362363824,2512,-3.282872516224533,32.72494776414607
1.0,15,2.0,4.0,0.5,4,60,breakout,7276,0.5744914788345244,4180,-0.0009428299252187742,-10.564539742368343,3938,-0.9808381000178918,-3.7205016561344584,-0.9809051664261629,"{""tp"": 2846, ""sl"": 904, ""time_maker"": 333, ""time_taker"": 97}",d0f2fc6ff6e5,-0.19473995708572847,2512,-3.873497822691155,39.25487037828469
1.0,15,2.0,4.0,1.0,1,15,dip,6725,0.37382899628252786,2514,-0.0008287533623550436,-6.522220024510308,2514,-0.8817031961906964,-2.306587658617908,-0.8817031961906964,"{""tp"": 1168, ""sl"": 677, ""time_maker"": 615, ""time_taker"": 54}",d8a42a9f187e,-0.12073231600719624,2512,-3.720251464631623,46.203350079668134
1.0,15,2.0,4.0,1.0,1,15,breakout,7276,0.288345244639912,2098,-0.0009372395479184614,-6.627519440148698,2098,-0.8661094796349711,-2.5016847677140333,-0.8663262804556915,"{""time_maker"": 894, ""tp"": 704, ""sl"": 356, ""time_taker"": 144}",cd06ba45cdd0,-0.1309441654201067,2512,-3.3618348597038974,41.5503741498413
1.0,15,2.0,4.0,1.0,1,60,dip,6725,0.574275092936803,3862,-0.000986683728764191,-9.891039139960133,3859,-0.9792956645433469,-3.437232044518763,-0.979299628943347,"{""tp"": 1607, ""time_maker"": 1117, ""sl"": 1031, ""time_taker"": 107}",c255cc348a64,-0.17991294795947912,2512,-3.22708492970752,34.10048479657794
1.0,15,2.0,4.0,1.0,1,60,breakout,7276,0.5744914788345244,4180,-0.0009282428461212429,-9.81035378306392,3938,-0.9755820660501235,-3.4320848122147978,-0.9756226069078351,"{""time_maker"": 1944, ""tp"": 1207, ""sl"": 680, ""time_taker"": 349}",7557b924e2d3,-0.17964352950717666,2512,-3.2295197682103938,37.90008101506524
1.0,15,2.0,4.0,1.0,2,15,dip,6725,0.37382899628252786,2514,-0.000815867461536988,-5.998644311852177,2514,-0.8787260247686746,-2.153971451964069,-0.8816659645610314,"{""tp"": 1396, ""sl"": 799, ""time_maker"": 268, ""time_taker"": 51}",4e3e7999073b,-0.11274401865343713,2512,-3.166855535218951,37.38309665948136
1.0,15,2.0,4.0,1.0,2,15,breakout,7276,0.288345244639912,2098,-0.0008990267118139018,-5.9700816739572575,2098,-0.8557780327598405,-2.2379351011922775,-0.8560115626675466,"{""tp"": 931, ""time_maker"": 578, ""sl"": 455, ""time_taker"": 134}",32fd241a92d7,-0.11713887691683887,2512,-2.268234492849869,35.325564617921934
